district_code,subdistrict_code,village_code,village_name,num_households
204,1033,217597,Siswaniya,1112
204,1033,217598,Bandhu Barwa,577
204,1033,217599,Sakrar,1791
204,1033,217600,Ramgarhwa,2184
204,1033,217601,Dhanhar Dihuli,1495
204,1033,217602,Amodei,4248
204,1033,217603,Shiwa Nagar,704
204,1033,217604,Naugarhwa,133
204,1033,217605,Chikni,182
204,1033,217606,Misrauliya,394
204,1033,217607,Patni,1606
204,1033,217608,Unchibhatiya,412
204,1033,217609,Parsauna Madan,444
204,1033,217610,Bhatwaliya,206
204,1033,217611,Inarwa,620
204,1033,217612,Bishambharapur,241
204,1033,217613,Belahiya,486
204,1033,217614,ChampaPur,3144
204,1033,217615,Tola Birta,1213
204,1033,217616,Dumri,499
204,1033,217617,Lachhmipur,205
204,1033,217618,Arza Nagar,268
204,1033,217620,Murla,1380
204,1033,217621,Bheriharwa,582
204,1034,0,Sugauli,47387
204,1034,0,Sugauli,39907
204,1034,0,Sugauli,7480
204,1034,217622,Chainpur,195
204,1034,217623,Baghi,938
204,1034,217624,MadhopurNankar,190
204,1034,217625,MadhopurNizamat,216
204,1034,217626,MadhopurKaramwa,1495
204,1034,217627,Bahuari,365
204,1034,217628,Sirkhandi,689
204,1034,217630,Dewdatwa,353
204,1034,217631,Khutiharwa,318
204,1034,217632,Raghunathpur,426
204,1034,217633,Ledihar,229
204,1034,217634,Pachbhirwa,447
204,1034,217635,Parsauna,180
204,1034,217636,Pajiarwa,978
204,1034,217637,Shampur,334
204,1034,217638,Khonra,505
204,1034,217639,Baksa,1037
204,1034,217640,Unwa Birit,151
204,1034,217641,Muswa,930
204,1034,217642,Biguia,222
204,1034,217643,Gorgawan,446
204,1034,217644,Suganw,3735
204,1034,217645,Kaithwalia,717
204,1034,217646,Mali,1990
204,1034,217647,Sukul Pakar Urf Belwalia,1402
204,1034,217648,Chiljhapti urf Juajat,421
204,1034,217649,Lal Parsa,640
204,1034,217650,Madhopur Bahuarwa urf Danditol,787
204,1034,217651,Siripur,4045
204,1034,217652,Bhataha,1397
204,1034,217653,Parsurampur,134
204,1034,217654,Dumdumwa,266
204,1034,217655,RoyPatti,432
204,1034,217656,Baluwa Tikulia,361
204,1034,217657,Muda  Chhapra,276
204,1034,217658,Gurhaurf Koraia,225
204,1034,217659,Phulwaria,784
204,1034,217660,Phulwaria Ojha,692
204,1034,217661,Baudha,451
204,1034,217662,Bhargawan,1866
204,1034,217663,Chhagraha,1065
204,1034,217664,Tola Dharampur,306
204,1034,217665,Bhawanipur,643
204,1034,217666,Chhapra Bahas,3050
204,1034,217667,Sapaha,411
204,1034,217668,Mansingha,3167
204,1034,801283,Sugauli (NP),7480
204,1034,801283,Sugauli (NP) WARD NO.-0001,384
204,1034,801283,Sugauli (NP) WARD NO.-0002,331
204,1034,801283,Sugauli (NP) WARD NO.-0003,518
204,1034,801283,Sugauli (NP) WARD NO.-0004,233
204,1034,801283,Sugauli (NP) WARD NO.-0005,228
204,1034,801283,Sugauli (NP) WARD NO.-0006,478
204,1034,801283,Sugauli (NP) WARD NO.-0007,365
204,1034,801283,Sugauli (NP) WARD NO.-0008,323
204,1034,801283,Sugauli (NP) WARD NO.-0009,297
204,1034,801283,Sugauli (NP) WARD NO.-0010,269
204,1034,801283,Sugauli (NP) WARD NO.-0011,593
204,1034,801283,Sugauli (NP) WARD NO.-0012,455
204,1034,801283,Sugauli (NP) WARD NO.-0013,302
204,1034,801283,Sugauli (NP) WARD NO.-0014,251
204,1034,801283,Sugauli (NP) WARD NO.-0015,404
204,1034,801283,Sugauli (NP) WARD NO.-0016,459
204,1034,801283,Sugauli (NP) WARD NO.-0017,342
204,1034,801283,Sugauli (NP) WARD NO.-0018,538
204,1034,801283,Sugauli (NP) WARD NO.-0019,335
204,1034,801283,Sugauli (NP) WARD NO.-0020,375
204,1035,0,Banjaria,32464
204,1035,0,Banjaria,32464
204,1035,217669,Phulwar,3309
204,1035,217670,Ghormarwa,632
204,1035,217671,Gamharia,160
204,1035,217672,Kukurjari,381
204,1035,217673,Janerwa,1576
204,1035,217674,Burhwa,307
204,1035,217675,Rohinia,626
204,1035,217676,Chichurahia,504
204,1035,217677,Sukhi Dih,142
204,1035,217678,Jatwa,960
204,1035,217679,Pachrukha,7830
204,1035,217680,Patkhaulia,210
204,1035,217681,Kaparsandi,173
