district_code	subdistrict_code	village_code	village_name	num_households
209	1116	221805	Kasaila Gachh Garha Bhagkasail	550
209	1116	221806	Sahasmal	2353
209	1116	221807	Tarauna	3083
209	1116	221808	Phulbari	577
209	1116	221810	Gelhabari	221
209	1116	221811	Khamgara	990
209	1116	221812	Jamua	965
209	1116	221813	Saranpur	1210
209	1116	221814	Dabhara Jagir	134
209	1116	221815	Dabhra	670
209	1116	221816	Tarabari	904
209	1116	221817	Jitwarpur	1295
209	1116	221818	Bhagpuraini	353
209	1116	221819	Pategna	1041
209	1116	221820	Kismat Khawaspur	678
209	1116	221821	Saguna	496
209	1116	221822	Baturbari	3324
209	1116	221823	Chanrarni	479
209	1116	221824	Metan	186
209	1116	221825	Jhamta	1142
209	1116	221826	Mahisakol	1066
209	1116	221827	Bansbari	2311
209	1116	221828	Samda	182
209	1116	221829	Murbala	444
209	1116	221830	Haria	1563
209	1116	221831	Bhagmohabbat	466
209	1116	221832	Majkuri	668
209	1116	221833	Rajokhar	261
209	1116	221834	Hyatpur	1361
209	1116	221835	Hasanpur	129
209	1116	221836	Itahara	152
209	1116	221837	Basantpur	2431
209	1116	221838	Barakamatchistipur	410
209	1116	221839	Rampur Mohanpur	4582
209	1116	221840	Bhagsadullah Gachh Kola	120
209	1116	221841	Salaigarh	492
209	1116	221843	Kharhar	193
209	1116	221844	Farasat	915
209	1116	221845	Araria	2612
209	1116	221846	Azmatpur	141
209	1116	221847	Belbari	226
209	1116	221849	Kochgawan	827
209	1116	221850	Lahtora	517
209	1116	221852	Lodipur	216
209	1116	221853	Kusiargaon	789
209	1116	221854	Azamnagar	687
209	1116	221855	Diari	1324
209	1116	221856	Majgawan	793
209	1116	221857	Belwa	2518
209	1116	221858	Bairgachhi	588
209	1116	221860	Sisauna	1133
209	1116	221861	Gaigari	1592
209	1116	221862	Rampur Kudarkatti	2465
209	1116	221863	Lahna	802
209	1116	221864	Bochi	389
209	1116	221865	Chanderdai	1298
209	1116	221866	Kamaldaha	1052
209	1116	221867	Bangawan	2404
209	1116	221868	Chikni	1970
209	1116	221869	Dhakia	341
209	1116	221870	Paik Tola	1704
209	1116	221871	Deoria	1437
209	1116	221872	Gainrha	1854
209	1116	221873	Mirzapur	149
209	1116	221874	Tirhutbita	250
209	1116	221875	Domai	298
209	1116	221876	Sandalpur	1122
209	1116	221877	Chatar	913
209	1116	221878	Tirhutbita	311
209	1116	221879	Lohtora	698
209	1116	801307	Araria (Nagar Parishad)	15248
209	1117	221881	Shoirgaon	878
209	1117	221883	Chikni	427
209	1117	221884	Pakri	706
209	1117	221885	Rahatmina	1120
209	1117	221886	Doria	430
209	1117	221887	Itahi	474
