district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
230,1398,245179,Mangarpal,598,25.6828416,84.9212061,25.7189179,84.9849558,25.6543027,84.8777962
230,1398,245182,Kita  Chauhattar,5231,25.6661758,84.8759144,25.6870331,84.895786,25.6543998,84.858162
230,1398,245183,Rampur Diara,619,25.6639037,84.8440392,25.6713973,84.8762739,25.6366976,84.8322602
230,1398,245184,Rampur Diara Taufir,1082,25.6389153,84.8777471,25.6430339,84.8902435,25.6318169,84.8723908
230,1398,245185,Rambad,453,25.629253,84.8698228,25.6400986,84.8837358,25.6215686,84.8589018
230,1398,245186,Patila,217,25.6415736,84.8424571,25.6475981,84.8604204,25.635105,84.8288955
230,1398,245187,Suarmarwa,1216,25.629461,84.840221,25.6403561,84.8667754,25.6039942,84.8201752
230,1398,245188,Darweshpur Diara,356,25.6465798,84.9350377,0,0,0,0
230,1398,245189,Darweshpur Uparwar,3311,25.630549,84.9464997,25.6370655,84.9558182,25.6189347,84.9365233
230,1398,245190,Wajidpur,199,24.7248999,84.4471315,24.7257638,84.448321,24.7237418,84.4456011
230,1398,245191,Singhara,463,25.7904669,85.4607639,25.8169347,85.4743194,25.7637213,85.4439695
230,1398,245192,Lodipur,270,24.9876242,84.813774,24.9904535,84.8164857,24.9848521,84.8089599
230,1398,245194,Chintamanipur  Maula,327,25.600568,84.9362274,25.6094162,84.9433136,25.5906602,84.932228
230,1398,245195,Madhopur,1333,26.3431608,84.4500844,26.3473928,84.4555306,26.3366146,84.4449198
230,1398,245196,Gaiaspur,208,25.6276085,84.8861057,25.629687,84.8907137,25.6243666,84.8824525
230,1398,245197,Nagwan,423,25.6133568,84.9219115,25.6183719,84.9335404,25.6066055,84.9123305
230,1398,245198,Sarangpur Tilhari,135,25.6145225,84.9342755,25.619232,84.9370194,25.6103247,84.9306869
230,1398,245199,Pandepur  Tilhari,238,25.6154178,84.9388299,25.6191921,84.9428328,25.6125088,84.9349213
230,1398,245200,Sadiqpur,1308,25.6294006,84.9368652,25.6346016,84.9392927,25.6139622,84.9241029
230,1398,245201,Sikandarpur,141,25.5673573,84.8468677,0,0,0,0
230,1398,245202,Dhakarpos,133,25.6208716,84.9258162,25.6263139,84.9309769,25.6180133,84.9227065
230,1398,245203,Ahiapur  Maner,1032,25.6183561,84.8958731,25.6223354,84.9057768,25.6085414,84.8835832
230,1398,245204,Chhitrauli,230,25.9965181,85.445294,26.0033284,85.4543077,25.9863891,85.433571
230,1398,245205,Rasulpur  Bijaigopal,426,25.6026271,84.9531416,25.6110172,84.9649809,25.5916424,84.9442521
230,1398,245207,Harshankarpur Narhanna,171,25.5986013,84.9648484,25.6093197,84.970665,25.593109,84.9586104
230,1398,245208,Bank,626,25.6058218,85.1338716,0,0,0,0
230,1398,245209,Beapur,2220,26.515046,87.009943,26.5249468,87.0245827,26.5054387,86.9979001
230,1398,245210,Lodipur,1164,24.9876242,84.813774,24.9904535,84.8164857,24.9848521,84.8089599
230,1398,245211,Sherpur,4704,25.6520352,84.9721675,25.6572685,84.9852471,25.6446297,84.9623603
